fault_links,fault_count,returncode,output_dir,python_time_sec,cplex_time_sec,lmax_sum,inspection_time_sec,total_time_sec
"4-8,4-10",2,0,batch_output/f_4-8__4-10,1.224,0.340,12816.000,0.064080,1.628
"4-8,5-6",2,0,batch_output/f_4-8__5-6,1.855,0.950,9018.000,0.045090,2.850
"4-8,5-11",2,0,batch_output/f_4-8__5-11,1.211,0.180,10748.000,0.053740,1.445
"4-8,6-9",2,0,batch_output/f_4-8__6-9,1.910,0.970,9018.000,0.045090,2.925
"4-8,7-8",2,0,batch_output/f_4-8__7-8,1.158,0.340,12894.000,0.064470,1.563
"4-8,7-10",2,0,batch_output/f_4-8__7-10,1.876,1.010,10706.000,0.053530,2.939
"4-8,9-10",2,0,batch_output/f_4-8__9-10,1.893,0.970,10706.000,0.053530,2.917
"4-8,9-11",2,0,batch_output/f_4-8__9-11,0.571,0.150,4294.000,0.021470,0.743
"4-8,10-11",2,0,batch_output/f_4-8__10-11,1.148,0.320,12816.000,0.064080,1.532
"4-9,4-10",2,0,batch_output/f_4-9__4-10,1.163,0.320,12816.000,0.064080,1.547
"4-9,5-6",2,0,batch_output/f_4-9__5-6,1.851,0.950,9018.000,0.045090,2.846
"4-9,5-11",2,0,batch_output/f_4-9__5-11,1.227,0.200,10748.000,0.053740,1.480
"4-9,6-9",2,0,batch_output/f_4-9__6-9,1.821,0.930,9018.000,0.045090,2.796
"4-9,7-8",2,0,batch_output/f_4-9__7-8,1.129,0.320,12894.000,0.064470,1.514
"4-9,7-10",2,0,batch_output/f_4-9__7-10,1.818,0.930,10706.000,0.053530,2.802
"4-9,9-10",2,0,batch_output/f_4-9__9-10,1.800,0.930,10706.000,0.053530,2.784
"4-9,9-11",2,0,batch_output/f_4-9__9-11,0.532,0.120,4294.000,0.021470,0.674
"4-9,10-11",2,0,batch_output/f_4-9__10-11,1.145,0.310,12816.000,0.064080,1.519
"4-10,5-6",2,0,batch_output/f_4-10__5-6,2.064,0.990,13246.000,0.066230,3.120
"4-10,5-11",2,0,batch_output/f_4-10__5-11,1.796,0.380,19270.000,0.096350,2.272
"4-10,6-9",2,0,batch_output/f_4-10__6-9,2.125,1.030,13246.000,0.066230,3.221
"4-10,7-8",2,0,batch_output/f_4-10__7-8,1.020,0.210,12822.000,0.064110,1.294
"4-10,7-10",2,0,batch_output/f_4-10__7-10,2.146,1.030,14934.000,0.074670,3.251
"4-10,9-10",2,0,batch_output/f_4-10__9-10,2.114,1.020,14934.000,0.074670,3.208
"4-10,9-11",2,0,batch_output/f_4-10__9-11,1.204,0.350,12816.000,0.064080,1.618
"4-10,10-11",2,0,batch_output/f_4-10__10-11,0.841,0.210,8522.000,0.042610,1.093
"5-6,5-11",2,0,batch_output/f_5-6__5-11,2.494,1.010,15472.000,0.077360,3.582
"5-6,6-9",2,0,batch_output/f_5-6__6-9,1.483,0.810,4724.000,0.023620,2.317
"5-6,7-8",2,0,batch_output/f_5-6__7-8,2.100,1.050,13324.000,0.066620,3.217
"5-6,7-10",2,0,batch_output/f_5-6__7-10,1.716,0.860,7930.000,0.039650,2.616
"5-6,9-10",2,0,batch_output/f_5-6__9-10,1.688,0.850,7930.000,0.039650,2.578
"5-6,9-11",2,0,batch_output/f_5-6__9-11,1.805,0.940,9018.000,0.045090,2.790
"5-6,10-11",2,0,batch_output/f_5-6__10-11,2.096,1.050,13246.000,0.066230,3.212
"5-11,6-9",2,0,batch_output/f_5-11__6-9,2.447,1.000,15472.000,0.077360,3.524
"5-11,7-8",2,0,batch_output/f_5-11__7-8,1.863,0.430,19348.000,0.096740,2.390
"5-11,7-10",2,0,batch_output/f_5-11__7-10,2.530,1.020,17160.000,0.085800,3.636
"5-11,9-10",2,0,batch_output/f_5-11__9-10,2.502,1.010,17160.000,0.085800,3.598
"5-11,9-11",2,0,batch_output/f_5-11__9-11,1.197,0.170,10748.000,0.053740,1.421
"5-11,10-11",2,0,batch_output/f_5-11__10-11,1.848,0.420,19270.000,0.096350,2.364
"6-9,7-8",2,0,batch_output/f_6-9__7-8,2.156,1.060,13324.000,0.066620,3.283
