fault_links,fault_count,returncode,output_dir,python_time_sec,cplex_time_sec,lmax_sum,inspection_time_sec,total_time_sec
"1-11,4-8",2,0,batch_output/f_1-11__4-8,1.121,0.310,12816.000,0.064080,1.495
"1-11,4-9",2,0,batch_output/f_1-11__4-9,1.084,0.310,12816.000,0.064080,1.458
"1-11,4-10",2,0,batch_output/f_1-11__4-10,0.837,0.210,8522.000,0.042610,1.090
"1-11,5-6",2,0,batch_output/f_1-11__5-6,2.023,1.000,13246.000,0.066230,3.089
"1-11,5-11",2,0,batch_output/f_1-11__5-11,1.717,0.350,19270.000,0.096350,2.163
"1-11,6-9",2,0,batch_output/f_1-11__6-9,2.056,1.000,13246.000,0.066230,3.122
"1-11,7-8",2,0,batch_output/f_1-11__7-8,1.054,0.230,12822.000,0.064110,1.348
"1-11,7-10",2,0,batch_output/f_1-11__7-10,2.086,0.990,14934.000,0.074670,3.151
"1-11,9-10",2,0,batch_output/f_1-11__9-10,2.057,1.000,14934.000,0.074670,3.132
"1-11,9-11",2,0,batch_output/f_1-11__9-11,1.211,0.340,12816.000,0.064080,1.615
"1-11,10-11",2,0,batch_output/f_1-11__10-11,0.791,0.190,8522.000,0.042610,1.024
"2-3,2-5",2,0,batch_output/f_2-3__2-5,2.292,1.000,14472.000,0.072360,3.365
"2-3,2-8",2,0,batch_output/f_2-3__2-8,2.012,0.980,12436.000,0.062180,3.054
"2-3,3-5",2,0,batch_output/f_2-3__3-5,2.482,1.020,15460.000,0.077300,3.580
"2-3,3-6",2,0,batch_output/f_2-3__3-6,2.082,1.040,14360.000,0.071800,3.194
"2-3,3-7",2,0,batch_output/f_2-3__3-7,1.480,0.820,5760.000,0.028800,2.329
"2-3,3-8",2,0,batch_output/f_2-3__3-8,2.108,1.030,14360.000,0.071800,3.209
"2-3,4-6",2,0,batch_output/f_2-3__4-6,2.089,1.000,14282.000,0.071410,3.160
"2-3,4-7",2,0,batch_output/f_2-3__4-7,1.875,0.980,10054.000,0.050270,2.905
"2-3,4-8",2,0,batch_output/f_2-3__4-8,1.884,0.960,10054.000,0.050270,2.894
"2-3,4-9",2,0,batch_output/f_2-3__4-9,1.852,0.960,10054.000,0.050270,2.862
"2-3,4-10",2,0,batch_output/f_2-3__4-10,2.074,1.000,14282.000,0.071410,3.146
"2-3,5-6",2,0,batch_output/f_2-3__5-6,1.690,0.840,7278.000,0.036390,2.566
"2-3,5-11",2,0,batch_output/f_2-3__5-11,2.411,1.010,16508.000,0.082540,3.504
"2-3,6-9",2,0,batch_output/f_2-3__6-9,1.637,0.820,7278.000,0.036390,2.493
"2-3,7-8",2,0,batch_output/f_2-3__7-8,2.131,1.040,14360.000,0.071800,3.243
"2-3,7-10",2,0,batch_output/f_2-3__7-10,1.719,0.830,8966.000,0.044830,2.594
"2-3,9-10",2,0,batch_output/f_2-3__9-10,1.728,0.840,8966.000,0.044830,2.613
"2-3,9-11",2,0,batch_output/f_2-3__9-11,1.862,0.960,10054.000,0.050270,2.872
"2-3,10-11",2,0,batch_output/f_2-3__10-11,2.118,1.040,14282.000,0.071410,3.230
"2-5,2-8",2,0,batch_output/f_2-5__2-8,0.986,0.180,8712.000,0.043560,1.209
"2-5,3-5",2,0,batch_output/f_2-5__3-5,0.966,0.180,8712.000,0.043560,1.190
"2-5,3-6",2,0,batch_output/f_2-5__3-6,1.636,0.410,17312.000,0.086560,2.132
"2-5,3-7",2,0,batch_output/f_2-5__3-7,2.301,1.010,14472.000,0.072360,3.384
"2-5,3-8",2,0,batch_output/f_2-5__3-8,1.647,0.400,17312.000,0.086560,2.133
"2-5,4-6",2,0,batch_output/f_2-5__4-6,1.582,0.390,17234.000,0.086170,2.058
"2-5,4-7",2,0,batch_output/f_2-5__4-7,0.993,0.180,8712.000,0.043560,1.217
"2-5,4-8",2,0,batch_output/f_2-5__4-8,0.990,0.180,8712.000,0.043560,1.214
"2-5,4-9",2,0,batch_output/f_2-5__4-9,0.990,0.180,8712.000,0.043560,1.214
"2-5,4-10",2,0,batch_output/f_2-5__4-10,1.661,0.390,17234.000,0.086170,2.137
"2-5,5-6",2,0,batch_output/f_2-5__5-6,2.272,1.000,13436.000,0.067180,3.339
"2-5,5-11",2,0,batch_output/f_2-5__5-11,1.007,0.170,8712.000,0.043560,1.221
"2-5,6-9",2,0,batch_output/f_2-5__6-9,2.345,1.000,13436.000,0.067180,3.412
"2-5,7-8",2,0,batch_output/f_2-5__7-8,1.700,0.400,17312.000,0.086560,2.187
"2-5,7-10",2,0,batch_output/f_2-5__7-10,2.243,0.940,15124.000,0.075620,3.258
"2-5,9-10",2,0,batch_output/f_2-5__9-10,2.298,0.990,15124.000,0.075620,3.364
"2-5,9-11",2,0,batch_output/f_2-5__9-11,0.940,0.170,8712.000,0.043560,1.153
"2-5,10-11",2,0,batch_output/f_2-5__10-11,1.615,0.360,17234.000,0.086170,2.062
"2-8,3-5",2,0,batch_output/f_2-8__3-5,1.212,0.200,9700.000,0.048500,1.460
"2-8,3-6",2,0,batch_output/f_2-8__3-6,1.404,0.370,15276.000,0.076380,1.851
"2-8,3-7",2,0,batch_output/f_2-8__3-7,2.069,0.960,12436.000,0.062180,3.091
"2-8,3-8",2,0,batch_output/f_2-8__3-8,1.385,0.330,15276.000,0.076380,1.791
"2-8,4-6",2,0,batch_output/f_2-8__4-6,1.439,0.370,15198.000,0.075990,1.885
"2-8,4-7",2,0,batch_output/f_2-8__4-7,0.778,0.160,6676.000,0.033380,0.972
"2-8,4-8",2,0,batch_output/f_2-8__4-8,0.785,0.170,6676.000,0.033380,0.988
"2-8,4-9",2,0,batch_output/f_2-8__4-9,0.732,0.150,6676.000,0.033380,0.915
"2-8,4-10",2,0,batch_output/f_2-8__4-10,1.414,0.360,15198.000,0.075990,1.850
"2-8,5-6",2,0,batch_output/f_2-8__5-6,2.049,0.970,11400.000,0.057000,3.076
"2-8,5-11",2,0,batch_output/f_2-8__5-11,1.112,0.170,10748.000,0.053740,1.336
"2-8,6-9",2,0,batch_output/f_2-8__6-9,1.998,0.950,11400.000,0.057000,3.005
"2-8,7-8",2,0,batch_output/f_2-8__7-8,1.379,0.370,15276.000,0.076380,1.825
"2-8,7-10",2,0,batch_output/f_2-8__7-10,2.067,0.960,13088.000,0.065440,3.093
"2-8,9-10",2,0,batch_output/f_2-8__9-10,1.991,0.970,13088.000,0.065440,3.027
"2-8,9-11",2,0,batch_output/f_2-8__9-11,0.732,0.160,6676.000,0.033380,0.925
"2-8,10-11",2,0,batch_output/f_2-8__10-11,1.403,0.360,15198.000,0.075990,1.839
"3-5,3-6",2,0,batch_output/f_3-5__3-6,1.851,0.410,18300.000,0.091500,2.353
"3-5,3-7",2,0,batch_output/f_3-5__3-7,2.456,1.030,15460.000,0.077300,3.563
"3-5,3-8",2,0,batch_output/f_3-5__3-8,1.780,0.410,18300.000,0.091500,2.282
"3-5,4-6",2,0,batch_output/f_3-5__4-6,1.748,0.380,18222.000,0.091110,2.219
"3-5,4-7",2,0,batch_output/f_3-5__4-7,1.170,0.190,9700.000,0.048500,1.408
"3-5,4-8",2,0,batch_output/f_3-5__4-8,1.170,0.200,9700.000,0.048500,1.418
"3-5,4-9",2,0,batch_output/f_3-5__4-9,1.151,0.200,9700.000,0.048500,1.400
"3-5,4-10",2,0,batch_output/f_3-5__4-10,1.705,0.410,18222.000,0.091110,2.206
"3-5,5-6",2,0,batch_output/f_3-5__5-6,2.376,1.020,14424.000,0.072120,3.468
"3-5,5-11",2,0,batch_output/f_3-5__5-11,0.962,0.160,8712.000,0.043560,1.166
"3-5,6-9",2,0,batch_output/f_3-5__6-9,2.470,1.000,14424.000,0.072120,3.542
"3-5,7-8",2,0,batch_output/f_3-5__7-8,1.774,0.410,18300.000,0.091500,2.275
"3-5,7-10",2,0,batch_output/f_3-5__7-10,2.453,0.990,16112.000,0.080560,3.524
"3-5,9-10",2,0,batch_output/f_3-5__9-10,2.406,0.980,16112.000,0.080560,3.467
"3-5,9-11",2,0,batch_output/f_3-5__9-11,1.172,0.170,9700.000,0.048500,1.391
"3-5,10-11",2,0,batch_output/f_3-5__10-11,1.816,0.410,18222.000,0.091110,2.317
"3-6,3-7",2,0,batch_output/f_3-6__3-7,2.094,1.020,14360.000,0.071800,3.186
"3-6,3-8",2,0,batch_output/f_3-6__3-8,0.820,0.210,8600.000,0.043000,1.073
"3-6,4-6",2,0,batch_output/f_3-6__4-6,1.044,0.260,12822.000,0.064110,1.368
"3-6,4-7",2,0,batch_output/f_3-6__4-7,1.173,0.350,12894.000,0.064470,1.587
