network,fault_links,fault_count,total_inspection_count,output_dir
cost239-1,1-5;3-7,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__3-7
cost239-1,1-5;3-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__3-8
cost239-1,1-5;4-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__4-6
cost239-1,1-5;4-7,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__4-7
cost239-1,1-5;4-8,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__4-8
cost239-1,1-5;4-9,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__4-9
cost239-1,1-5;4-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__4-10
cost239-1,1-5;5-6,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__5-6
cost239-1,1-5;5-11,2,24,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__5-11
cost239-1,1-5;6-9,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__6-9
cost239-1,1-5;7-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__7-8
cost239-1,1-5;7-10,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__7-10
cost239-1,1-5;9-10,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__9-10
cost239-1,1-5;9-11,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__9-11
cost239-1,1-5;10-11,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-5__10-11
cost239-1,1-6;1-7,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__1-7
cost239-1,1-6;1-9,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__1-9
cost239-1,1-11;1-6,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__1-11
cost239-1,1-6;2-3,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__2-3
cost239-1,1-6;2-5,2,18,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__2-5
